id,title,latitude,longitude,gmaps
208,"""Herzing University-Birmingham""",33.468105,-86.832299,t
209,"""Huntingdon College""",32.350939,-86.285313,t
210,"""Heritage Christian University""",34.859089,-87.662062,t
211,"""J F Drake State Technical College""",34.772116,-86.573817,t
212,"""J F Ingram State Technical College""",32.582312,-86.392369,t
213,"""Jacksonville State University""",33.822128,-85.766644,t
214,"""Jefferson Davis Community College""",31.101995,-87.085829,t
215,"""Jefferson State Community College""",33.652439,-86.707387,t
216,"""John C Calhoun State Community College""",34.65428,-86.949131,t
217,"""Judson College""",32.630526,-87.316127,t
218,"""Lawson State Community College-Birmingham Campus""",33.451673,-86.890234,t
219,"""University of West Alabama""",32.59244,-88.186077,t
220,"""Lurleen B Wallace Community College""",31.322947,-86.452262,t
221,"""Marion Military Institute""",32.622359,-87.317998,t
222,"""Miles College""",33.481306,-86.908605,t
223,"""University of Mobile""",30.793247,-88.128934,t
224,"""University of Montevallo""",33.10625,-86.865099,t
225,"""Northwest Shoals Community College-Muscle Shoals""",34.739567,-87.67733,t
226,"""University of North Alabama""",34.80658,-87.680999,t
227,"""Northeast Alabama Community College""",34.545471,-85.911664,t
228,"""Oakwood University""",34.756628,-86.661628,t
229,"""Alabama Southern Community College""",31.488925,-87.326352,t
230,"""Prince Institute of Professional Studies Inc""",32.383091,-86.162213,t
231,"""Reid State Technical College""",31.46071,-86.964486,t
232,"""Bishop State Community College""",30.693972,-88.056982,t
233,"""Samford University""",33.464578,-86.790932,t
234,"""Selma University""",32.420358,-87.033826,t
235,"""Shelton State Community College""",33.120531,-87.56148,t
236,"""Snead State Community College""",34.20069,-86.16948,t
237,"""University of South Alabama""",30.695081,-88.18189,t
238,"""Spring Hill College""",30.694751,-88.138199,t
239,"""Southeastern Bible College""",33.378935,-86.749045,t
240,"""Stillman College""",33.199228,-87.585242,t
241,"""Talladega College""",33.434258,-86.113675,t
242,"""H Councill Trenholm State Technical College""",32.350109,-86.343057,t
243,"""Troy University""",31.800128,-85.950191,t
244,"""Tuskegee University""",32.431021,-85.710315,t
245,"""United States Sports Academy""",30.639329,-87.91163,t
246,"""Bevill State Community College""",33.835785,-87.265034,t
247,"""University of Alaska Anchorage""",61.189554,-149.826135,t
248,"""Alaska Bible College""",62.11296,-145.52624,t
249,"""University of Alaska Fairbanks""",64.857053,-147.82475,t
250,"""University of Alaska Southeast""",58.38427,-134.636346,t
251,"""Alaska Pacific University""",61.191235,-149.804242,t
252,"""AVTEC-Alaska's Institute of Technology""",60.110727,-149.444573,t
253,"""Charter College-Anchorage""",61.195786,-149.840178,t
254,"""Prince William Sound Community College""",61.122364,-146.17799,t
255,"""Alaska Career College""",61.181443,-149.856954,t
256,"""University of Alaska System of Higher Education""",64.858626,-147.82863,t
257,"""Everest College-Phoenix""",33.580985,-112.113845,t
258,"""Collins College""",33.40334,-111.98646,t
259,"""Empire Beauty School-Paradise Valley""",33.602593,-111.976357,t
260,"""Empire Beauty School-Tucson""",32.235657,-110.927187,t
261,"""Thunderbird School of Global Management""",33.620887,-112.180861,t
262,"""American Indian College of the Assemblies of God Inc""",33.577738,-112.092247,t
263,"""American Institute of Technology""",33.442262,-112.175304,t
264,"""Carrington College-Phoenix""",33.560821,-112.115546,t
265,"""Carrington College-Mesa""",33.393013,-111.855281,t
266,"""Carrington College-Tucson""",32.270861,-110.977999,t
267,"""College America-Flagstaff""",35.211152,-111.604793,t
268,"""Arizona Academy of Beauty-East""",32.237253,-110.872305,t
269,"""Arizona Automotive Institute""",33.537249,-112.157344,t
270,"""Brookline College-Phoenix""",33.525384,-112.15007,t
271,"""Arizona State University""",33.421921,-111.940011,t
272,"""Arizona Western College""",32.689306,-114.495968,t
273,"""University of Arizona""",32.232071,-110.950769,t
274,"""Southwest University of Visual Arts-Tucson""",32.252384,-110.927321,t
275,"""Brillare Hairdressing Academy""",33.624041,-111.925479,t
276,"""Central Arizona College""",32.957092,-111.652501,t
277,"""Brown Mackie College-Tucson""",32.236736,-110.895086,t
278,"""Charles of Italy Beauty College""",34.475275,-114.328134,t
279,"""Cochise College""",31.365757,-109.690422,t
280,"""Empire Beauty School-Flagstaff""",35.197151,-111.625936,t
281,"""Empire Beauty School-Chandler""",33.347586,-111.860423,t
282,"""Cortiva Institute-Tucson""",32.21901,-110.856785,t
283,"""DeVry University-Arizona""",33.566087,-112.104445,t
284,"""Avalon School of Cosmetology""",33.376583,-111.858305,t
285,"""Eastern Arizona College""",32.840719,-109.761664,t
286,"""Embry-Riddle Aeronautical University-Prescott""",34.615678,-112.452285,t
287,"""Frank Lloyd Wright School of Architecture""",33.60715,-111.846477,t
288,"""Glendale Community College""",33.567483,-112.188334,t
289,"""Grand Canyon University""",33.512172,-112.129917,t
290,"""Anthem College-Phoenix""",33.494316,-112.050186,t
291,"""International Academy of Hair Design""",33.392961,-111.862672,t
292,"""Lamson College""",33.348036,-111.952954,t
293,"""Kaplan College-Phoenix""",33.608202,-112.118921,t
294,"""Maricopa Beauty College LLC""",33.435567,-112.355045,t
295,"""Maricopa Community College System Office""",33.412915,-111.975786,t
296,"""GateWay Community College""",33.4495,-111.996527,t
297,"""Mesa Community College""",33.391256,-111.871494,t
298,"""ITT Technical Institute-Tucson""",32.297261,-110.997501,t
299,"""ITT Technical Institute-Tempe""",33.380355,-111.969169,t
300,"""Mohave Community College""",35.270737,-114.030244,t
301,"""Universal Technical Institute-Motorcycle Mechanics Institute Division""",33.684428,-112.121336,t
302,"""Dine College""",36.327588,-109.294679,t
303,"""Northern Arizona University""",35.180095,-111.657653,t
304,"""Northland Pioneer College""",34.922221,-110.1316,t
305,"""Ottawa University-Phoenix""",33.577907,-112.113447,t
306,"""Phoenix College""",33.481361,-112.088293,t
307,"""Cortiva Institute-Scottsdale""",33.466554,-111.908433,t
308,"""University of Phoenix-Phoenix-Hohokam Campus""",33.412344,-111.980222,t
309,"""Pima Community College""",32.226818,-110.985222,t
310,"""Pima Medical Institute-Tucson""",32.250448,-110.921306,t
311,"""Pima Medical Institute-Albuquerque""",35.105533,-106.594702,t
312,"""Prescott College""",34.5445,-112.476509,t
313,"""Refrigeration School Inc""",33.448692,-111.989357,t
314,"""Rio Salado College""",33.413138,-111.975201,t
315,"""Roberto-Venn School of Luthiery""",33.454663,-112.086393,t
316,"""Hair Academy of Safford""",32.835302,-109.727696,t
317,"""Scottsdale Community College""",33.509489,-111.887298,t
318,"""South Mountain Community College""",33.381001,-112.057515,t
319,"""Arizona Christian University""",33.595117,-112.026211,t
320,"""Tucson College""",32.221798,-110.883521,t
321,"""Universal Technical Institute of Arizona Inc""",33.453533,-112.289693,t
322,"""Western International University""",33.600673,-112.118422,t
323,"""Empire Beauty School-NW Phoenix""",33.538093,-112.118168,t
324,"""Yavapai College""",34.547512,-112.454156,t
325,"""University of Arkansas at Little Rock""",34.726644,-92.341835,t
326,"""University of Arkansas for Medical Sciences""",34.749718,-92.320945,t
327,"""ABC Beauty College Inc""",34.122346,-93.081629,t
328,"""Arkansas Baptist College""",34.734751,-92.290555,t
329,"""Arkansas Beauty School""",34.669071,-92.334814,t
330,"""Arkansas Beauty College""",35.278622,-93.13522,t
331,"""Lyon College""",35.778934,-91.628115,t
332,"""Arkansas College of Barbering and Hair Design""",34.753621,-92.266336,t
333,"""Arthur's Beauty College Inc-Fort Smith""",35.379955,-94.410967,t
334,"""University of Arkansas""",36.06153,-94.178214,t
335,"""University of Arkansas at Pine Bluff""",34.242192,-92.021263,t
336,"""Arkansas State University-Beebe""",35.074512,-91.896165,t
337,"""Arkansas State University-Main Campus""",35.842779,-90.680478,t
338,"""Arkansas Tech University""",35.295227,-93.13233,t
339,"""University of Arkansas at Monticello""",33.589788,-91.812971,t
340,"""Arthur's Beauty College Inc""",34.8918,-92.102284,t
341,"""Baptist Health Schools-Little Rock""",34.713115,-92.40692,t
342,"""Bee Jays Academy""",35.769717,-91.654509,t
343,"""Black River Technical College""",36.239793,-90.951033,t
344,"""University of Central Arkansas""",35.078196,-92.45931,t
345,"""Central Baptist College""",35.084574,-92.444102,t
346,"""Cossatot Community College of the University of Arkansas""",34.043389,-94.3673,t
347,"""Crowley's Ridge College""",36.066239,-90.58482,t
348,"""Crowleys Ridge Technical Institute""",35.041908,-90.767807,t
349,"""East Arkansas Community College""",35.039673,-90.767445,t
350,"""Eastern College of Health Vocations-Little Rock""",34.751104,-92.341195,t
351,"""Imagine-Paul Mitchell Partner School""",34.791306,-92.221304,t
352,"""National Park Community College""",34.512731,-93.117111,t
353,"""University of Arkansas Community College-Batesville""",35.79293,-91.616123,t
354,"""Harding University""",35.249605,-91.729008,t
355,"""Henderson State University""",34.127792,-93.060313,t
356,"""Hendrix College""",35.09972,-92.442021,t
357,"""Hot Springs Beauty College""",34.496287,-93.038381,t
358,"""Jefferson Regional Medical Center School of Nursing""",34.187831,-92.018045,t
359,"""John Brown University""",36.191077,-94.559088,t
360,"""Lees School of Cosmetology""",34.781993,-92.296729,t
361,"""Career Academy of Hair Design""",36.16757,-94.131834,t
362,"""Marsha Kay Beauty College""",36.344658,-92.386019,t
363,"""Academy of Salon and Spa""",35.380891,-94.416327,t
364,"""Mid-South Community College""",35.145736,-90.22285,t
365,"""Arkansas Northeastern College""",35.897362,-89.922491,t
366,"""Margarets Hair Academy Inc""",33.629169,-91.7887,t
367,"""New Tyler Barber College Inc""",34.759076,-92.254108,t
368,"""North Arkansas College""",36.220528,-93.087317,t
369,"""Northwest Technical Institute""",36.178617,-94.116433,t
370,"""Ouachita Baptist University""",34.125045,-93.052442,t
371,"""College of the Ouachitas""",34.378745,-92.821416,t
372,"""Ozarka College""",36.053031,-91.896355,t
373,"""University of the Ozarks""",35.477785,-93.467924,t
374,"""University of Arkansas Community College-Morrilton""",35.172136,-92.728507,t
375,"""Philander Smith College""",34.73666,-92.28242,t
376,"""Phillips Community College of the University of Arkansas""",34.544976,-90.617745,t
377,"""Southeast Arkansas College""",34.209797,-92.024731,t
378,"""Professional Cosmetology Education Center""",33.215124,-92.663131,t
379,"""Pulaski Technical College""",34.78243,-92.299729,t
380,"""University of Arkansas Community College-Hope""",33.64791,-93.584528,t
381,"""Rich Mountain Community College""",34.590793,-94.2197,t
382,"""Paul Mitchell the School-Arkansas""",36.07866,-94.156452,t
383,"""Searcy Beauty College Inc""",35.237723,-91.73454,t
384,"""Williams Baptist College""",36.126825,-90.939876,t
385,"""South Arkansas Community College""",33.209446,-92.666087,t
386,"""Southern Arkansas University Main Campus""",33.291195,-93.235087,t
387,"""Southern Arkansas University Tech""",33.60388,-92.839009,t
388,"""University of Arkansas System Office""",34.775989,-92.343714,t
389,"""Velvatex College of Beauty Culture""",34.735724,-92.289758,t
390,"""University of Arkansas-Fort Smith""",35.385345,-94.374073,t
391,"""Abram Friedman Occupational Center""",34.034629,-118.265511,t
392,"""Academy of Art University""",37.787748,-122.400686,t
