id,title
330,"Empire Beauty School-NW Phoenix"
331,"Yavapai College"
332,"University of Arkansas at Little Rock"
333,"University of Arkansas for Medical Sciences"
334,"ABC Beauty College Inc"
335,"Arkansas Baptist College"
336,"Arkansas Beauty School"
337,"Arkansas Beauty College"
338,"Lyon College"
339,"Arkansas College of Barbering and Hair Design"
340,"Arthur's Beauty College Inc-Fort Smith"
341,"University of Arkansas"
342,"University of Arkansas at Pine Bluff"
343,"Arkansas State University-Beebe"
344,"Arkansas State University-Main Campus"
345,"Arkansas Tech University"
346,"University of Arkansas at Monticello"
347,"Arthur's Beauty College Inc"
348,"Baptist Health Schools-Little Rock"
349,"Bee Jays Academy"
350,"Black River Technical College"
351,"University of Central Arkansas"
352,"Central Baptist College"
353,"Cossatot Community College of the University of Arkansas"
354,"Crowley's Ridge College"
355,"Crowleys Ridge Technical Institute"
356,"East Arkansas Community College"
357,"Eastern College of Health Vocations-Little Rock"
358,"Imagine-Paul Mitchell Partner School"
359,"National Park Community College"
360,"University of Arkansas Community College-Batesville"
361,"Harding University"
362,"Henderson State University"
363,"Hendrix College"
364,"Hot Springs Beauty College"
365,"Jefferson Regional Medical Center School of Nursing"
366,"John Brown University"
367,"Lees School of Cosmetology"
368,"Career Academy of Hair Design"
369,"Marsha Kay Beauty College"
370,"Academy of Salon and Spa"
371,"Mid-South Community College"
372,"Arkansas Northeastern College"
373,"Margarets Hair Academy Inc"
374,"New Tyler Barber College Inc"
375,"North Arkansas College"
376,"Northwest Technical Institute"
377,"Ouachita Baptist University"
378,"College of the Ouachitas"
379,"Ozarka College"
380,"University of the Ozarks"
381,"University of Arkansas Community College-Morrilton"
382,"Philander Smith College"
383,"Phillips Community College of the University of Arkansas"
384,"Southeast Arkansas College"
385,"Professional Cosmetology Education Center"
386,"Pulaski Technical College"
387,"University of Arkansas Community College-Hope"
388,"Rich Mountain Community College"
389,"Paul Mitchell the School-Arkansas"
390,"Searcy Beauty College Inc"
391,"Williams Baptist College"
392,"South Arkansas Community College"
393,"Southern Arkansas University Main Campus"
394,"Southern Arkansas University Tech"
395,"University of Arkansas System Office"
396,"Velvatex College of Beauty Culture"
397,"University of Arkansas-Fort Smith"
398,"Abram Friedman Occupational Center"
399,"Academy of Art University"
400,"ITT Technical Institute-Rancho Cordova"
401,"Academy of Chinese Culture and Health Sciences"
402,"The Academy of Radio and TV Broadcasting"
403,"Alameda Beauty College"
404,"College of Alameda"
405,"Allan Hancock College"
406,"American Academy of Dramatic Arts-Los Angeles"
407,"American Baptist Seminary of the West"
408,"American Film Institute Conservatory"
409,"American Beauty College"
410,"American Career College-Los Angeles"
411,"American Conservatory Theater"
412,"American River College"
413,"Everest College-Hayward"
414,"Antelope Valley College"
415,"Art Center College of Design"
416,"Associated Technical College-Los Angeles"
417,"Associated Technical College-San Diego"
418,"Azusa Pacific University"
419,"Bakersfield College"
420,"Bridges Academy of Beauty"
421,"Barstow Community College"
422,"Bellus Academy-National City"
423,"Bethesda University of California"
424,"Biola University"
