gmaps, latitude, longitude, name
t, 39.6789494089 , -104.959912091 , Jimmy John's
t, 39.6790888089 , -104.959693909 , Darque Tan
t, 39.6793069911 , -104.959693909 , Darque Tan
t, 39.6793069911 , -104.959912091 , Darque Tan
t, 39.6790888089 , -104.959912091 , Darque Tan
t, 39.6790207089 , -104.959688609 , Pak Mail
t, 39.6792388911 , -104.959688609 , Pak Mail
t, 39.6792388911 , -104.959906791 , Pak Mail
t, 39.6790207089 , -104.959906791 , Pak Mail
t, 39.6762586089 , -104.961360909 , Mary Reed Building
t, 39.6764767911 , -104.961360909 , Mary Reed Building
t, 39.6764767911 , -104.961579091 , Mary Reed Building
t, 39.6762586089 , -104.961579091 , Mary Reed Building
t, 39.6760020089 , -104.962113109 , Ben M Cherrington Hall
t, 39.6762201911 , -104.962113109 , Ben M Cherrington Hall
t, 39.6762201911 , -104.962331291 , Ben M Cherrington Hall
t, 39.6760020089 , -104.962331291 , Ben M Cherrington Hall
t, 39.6774562089 , -104.964927409 , University of Denver Graduate School of Social Work
t, 39.6776743911 , -104.964927409 , University of Denver Graduate School of Social Work
t, 39.6776743911 , -104.965145591 , University of Denver Graduate School of Social Work
t, 39.6774562089 , -104.965145591 , University of Denver Graduate School of Social Work
t, 39.6776687089 , -104.964890909 , Craig Hall
t, 39.6778868911 , -104.964890909 , Craig Hall
t, 39.6778868911 , -104.965109091 , Craig Hall
t, 39.6776687089 , -104.965109091 , Craig Hall
