University Name (IT IS NOT NECESSARILY THE CORRECT UNIVERSITY): Jimmy John's
University of Denver Graduate School of Social Work
Bounds: {'minlat': '39.6730400', 'maxlon': '-104.9594300', 'minlon': '-104.9652200', 'maxlat': '39.6837700'}
lat, lon, name, around_latitudes
39.6813763,-104.9624807,Hilltop Stadium, [[39.6812672088926, -104.9623716088926], [39.681485391107394, -104.9623716088926], [39.681485391107394, -104.9625897911074], [39.6812672088926, -104.9625897911074]]
39.6766541,-104.9622030,University of Denver, [[39.6765450088926, -104.9620939088926], [39.6767631911074, -104.9620939088926], [39.6767631911074, -104.9623120911074], [39.6765450088926, -104.9623120911074]]
39.6777778,-104.9600000,Daniels College of Business, [[39.677668708892604, -104.95989090889259], [39.6778868911074, -104.95989090889259], [39.6778868911074, -104.9601090911074], [39.677668708892604, -104.9601090911074]]
39.6788889,-104.9600000,Ricks Center, [[39.6787798088926, -104.95989090889259], [39.678997991107394, -104.95989090889259], [39.678997991107394, -104.9601090911074], [39.6787798088926, -104.9601090911074]]
39.6822222,-104.9630556,Williams Tower And Carillon, [[39.6821131088926, -104.9629465088926], [39.682331291107396, -104.9629465088926], [39.682331291107396, -104.96316469110741], [39.6821131088926, -104.96316469110741]]
39.6816667,-104.9627778,El Pomar Natatorium, [[39.681557608892604, -104.9626687088926], [39.6817757911074, -104.9626687088926], [39.6817757911074, -104.9628868911074], [39.681557608892604, -104.9628868911074]]
39.6772222,-104.9605556,University Hall, [[39.677113108892605, -104.9604465088926], [39.6773312911074, -104.9604465088926], [39.6773312911074, -104.96066469110741], [39.677113108892605, -104.96066469110741]]
39.6797222,-104.9636111,Sturm Hall, [[39.6796131088926, -104.96350200889259], [39.6798312911074, -104.96350200889259], [39.6798312911074, -104.9637201911074], [39.6796131088926, -104.9637201911074]]
39.6783333,-104.9644444,Columbine Hall, [[39.6782242088926, -104.9643353088926], [39.678442391107396, -104.9643353088926], [39.678442391107396, -104.96455349110741], [39.6782242088926, -104.96455349110741]]
39.6741667,-104.9622222,F W Olin Hall, [[39.6740576088926, -104.9621131088926], [39.6742757911074, -104.9621131088926], [39.6742757911074, -104.9623312911074], [39.6740576088926, -104.9623312911074]]
39.6752778,-104.9641667,Johnson-McFarlane Hall, [[39.675168708892606, -104.9640576088926], [39.6753868911074, -104.9640576088926], [39.6753868911074, -104.96427579110741], [39.675168708892606, -104.96427579110741]]
39.6768153,-104.9637745,Skyline Hall, [[39.676706208892604, -104.9636654088926], [39.6769243911074, -104.9636654088926], [39.6769243911074, -104.9638835911074], [39.676706208892604, -104.9638835911074]]
39.6780556,-104.9605556,Margery Reed Hall, [[39.6779465088926, -104.9604465088926], [39.6781646911074, -104.9604465088926], [39.6781646911074, -104.96066469110741], [39.6779465088926, -104.96066469110741]]
39.6800259,-104.9619941,Leo Black Alumni Center, [[39.6799168088926, -104.9618850088926], [39.680134991107394, -104.9618850088926], [39.680134991107394, -104.9621031911074], [39.6799168088926, -104.9621031911074]]
39.6808333,-104.9641667,Stapleton Tennis Pavilion, [[39.680724208892606, -104.9640576088926], [39.6809423911074, -104.9640576088926], [39.6809423911074, -104.96427579110741], [39.680724208892606, -104.96427579110741]]
39.6822222,-104.9616667,Magness Arena, [[39.6821131088926, -104.96155760889259], [39.682331291107396, -104.96155760889259], [39.682331291107396, -104.9617757911074], [39.6821131088926, -104.9617757911074]]
39.6825000,-104.9611111,Joy Burns Arena, [[39.6823909088926, -104.96100200889259], [39.682609091107395, -104.96100200889259], [39.682609091107395, -104.9612201911074], [39.6823909088926, -104.9612201911074]]
39.6825000,-104.9627778,Hamilton Gymnasium, [[39.6823909088926, -104.9626687088926], [39.682609091107395, -104.9626687088926], [39.682609091107395, -104.9628868911074], [39.6823909088926, -104.9628868911074]]
39.6813889,-104.9622222,Coors Fitness Center, [[39.681279808892604, -104.9621131088926], [39.6814979911074, -104.9621131088926], [39.6814979911074, -104.9623312911074], [39.681279808892604, -104.9623312911074]]
39.6759698,-104.9638432,Hilltop Hall, [[39.6758607088926, -104.9637341088926], [39.676078891107394, -104.9637341088926], [39.676078891107394, -104.9639522911074], [39.6758607088926, -104.9639522911074]]
39.6759632,-104.9632424,Aspen Hall, [[39.6758541088926, -104.9631333088926], [39.676072291107396, -104.9631333088926], [39.676072291107396, -104.9633514911074], [39.6758541088926, -104.9633514911074]]
39.6768153,-104.9649332,Mary Mac Building, [[39.676706208892604, -104.9648241088926], [39.6769243911074, -104.9648241088926], [39.6769243911074, -104.96504229110741], [39.676706208892604, -104.96504229110741]]
39.6771390,-104.9643668,Frontier Hall, [[39.6770299088926, -104.96425770889259], [39.677248091107394, -104.96425770889259], [39.677248091107394, -104.9644758911074], [39.6770299088926, -104.9644758911074]]
39.6773240,-104.9637144,Pioneer Hall, [[39.6772149088926, -104.9636053088926], [39.677433091107396, -104.9636053088926], [39.677433091107396, -104.9638234911074], [39.6772149088926, -104.9638234911074]]
39.6786304,-104.9595940,Pete's Cafe, [[39.678521308892606, -104.95948490889259], [39.6787394911074, -104.95948490889259], [39.6787394911074, -104.9597030911074], [39.678521308892606, -104.9597030911074]]
39.6785848,-104.9597847,Ben and Jerry's Ice Cream, [[39.678475708892606, -104.9596756088926], [39.6786938911074, -104.9596756088926], [39.6786938911074, -104.9598937911074], [39.678475708892606, -104.9598937911074]]
39.6789283,-104.9596249,Mustard's Last Stand, [[39.678819208892605, -104.95951580889259], [39.6790373911074, -104.95951580889259], [39.6790373911074, -104.9597339911074], [39.678819208892605, -104.9597339911074]]
